full:0.001,full:0.004,full:0.02,full:0.04
2.20779331877,1.73777403786,1.36424302413,1.23132651403
2.17324423148,1.73672565176,1.23910462215,1.12911730363
2.14240010931,1.6123600538,1.27343421533,1.13147085263
2.67578601195,1.94936695053,1.47313546493,1.4388592179
2.17030095412,1.84269084885,1.48919784381,1.45837282493
2.20965214922,1.74533709242,1.37135946109,1.23892068221
2.11093296959,1.72898712113,1.29066663339,1.21368747308
2.45805526628,2.41893672301,1.73229929163,1.14240931823
2.7574637319,3.4739127989,2.24797373368,1.66639935329
2.10548105194,1.72215881302,1.24514680459,1.16373121097
2.18736591293,1.71729534223,1.33367311313,1.20301853969
2.11724304511,1.73695939138,1.29693590953,1.23445981099
2.89621769368,3.18031612887,1.91349195792,1.31713556602
3.0855181302,4.3811521168,1.6229996617,1.54110240295
2.44844340636,2.29698231175,1.31786280229,1.15598391845
2.36207186534,1.76370223715,1.43383234098,1.38681792571
2.17407410695,1.95430650665,1.70606704905,1.69550597026
2.37843763187,2.03537007525,1.25599443271,1.24277656629
3.62221075837,4.18978323891,1.90463941648,1.81993501737
2.83844081416,3.02048330857,1.41908424451,1.33206325128
2.82274322641,2.00593858316,1.56377517535,1.40006291225
2.15311344816,1.91426508977,1.59446840837,1.51155816867
2.25569676711,1.74436276509,1.42533468558,1.37045186116
2.80411932721,3.29976630314,2.10313715889,2.05370899393
2.91974290564,2.61314245091,1.28477417781,1.41782813623
2.52385809376,1.89655738427,1.38214331224,1.30143099382
2.12734016134,1.86308723046,1.31806736543,1.13688432529
2.50208186462,2.05491729929,1.67105316474,1.30249213531
3.33783802214,3.28618123486,1.58786427333,1.44022625043
2.31369473888,1.65876596524,1.67539131,1.887614661
2.3351678188,1.88685929133,1.38126223638,1.25368439509
2.11491515591,1.82863303377,1.21368014171,1.15764056995
2.49159922554,2.06333144857,1.50223618104,1.54622393205
3.03557120367,2.56257464095,1.88302918627,1.71124365284
2.20460086419,1.67246051981,1.27676796271,1.23598127915
2.3106253083,1.95431514933,1.35210775687,1.24104385926
2.15418093755,1.80715578153,1.19164674832,1.07460021331
2.68103501304,2.0834071572,1.34439133956,1.25006192281
2.27602364971,2.05397870495,1.51104699924,1.5953016813
2.251894259,1.92756655171,1.64593600585,1.42117994382
2.36105450346,2.28014760568,1.37854450299,1.25662081792
2.20082002236,1.6678842838,1.37382244422,1.08787994935
2.47078883006,2.06451021983,1.63823159887,1.43419700219
2.30638145759,1.61079048469,1.23367183759,1.05385845258
2.32880468025,1.77954938366,1.9084959562,1.74568092181
2.37383351578,1.87737964942,1.59321945264,1.751704448
2.14924248411,1.65323703839,1.38771628692,1.24855058744
2.22651561453,2.06253343179,1.56138353898,1.32648312404
2.26494266941,1.76423987104,1.45293872907,1.31092261626
2.47925978257,1.91889112546,1.55672099545,1.38083206966
3.16849355503,2.62183793737,1.33971112325,1.25031244113
2.24858921125,1.99475070192,1.23445796325,1.19193177774
2.28170012786,2.15975158765,1.63156657769,1.43401961877
2.14223378255,1.94026168539,1.56066101148,1.47958254172
2.32749574735,1.9912354882,1.57667290523,1.62700253083
2.84382319903,2.1405598159,1.28511010959,1.16536926581
2.23507487132,2.04275067999,1.34746860816,1.3576671417
